,ranking_score,accuracy_score,accuracy_score,classifier,classifier,classifier,classifier,classifier,classifier
,,mean,std,type,criterion,min_samples_leaf,max_depth,max_leaf_nodes,min_samples_split
rank,,,,,,,,,
0,1.0,1.0,0.0,RandomForestClassifierDF,gini,100,6,10,100
1,1.0,1.0,0.0,RandomForestClassifierDF,entropy,100,6,10,100
2,1.0,1.0,0.0,RandomForestClassifierDF,gini,100,6,10,300
3,1.0,1.0,0.0,RandomForestClassifierDF,entropy,100,6,10,300
4,1.0,1.0,0.0,RandomForestClassifierDF,gini,100,6,10,500
5,1.0,1.0,0.0,RandomForestClassifierDF,entropy,100,6,10,500
6,1.0,1.0,0.0,RandomForestClassifierDF,gini,100,8,10,100
7,1.0,1.0,0.0,RandomForestClassifierDF,entropy,100,8,10,100
8,1.0,1.0,0.0,RandomForestClassifierDF,gini,100,8,10,300
9,1.0,1.0,0.0,RandomForestClassifierDF,entropy,100,8,10,300
10,1.0,1.0,0.0,RandomForestClassifierDF,gini,100,8,10,500
11,1.0,1.0,0.0,RandomForestClassifierDF,entropy,100,8,10,500
12,1.0,1.0,0.0,RandomForestClassifierDF,gini,100,12,10,100
13,1.0,1.0,0.0,RandomForestClassifierDF,entropy,100,12,10,100
14,1.0,1.0,0.0,RandomForestClassifierDF,gini,100,12,10,300
15,1.0,1.0,0.0,RandomForestClassifierDF,entropy,100,12,10,300
16,1.0,1.0,0.0,RandomForestClassifierDF,gini,100,12,10,500
17,1.0,1.0,0.0,RandomForestClassifierDF,entropy,100,12,10,500
18,1.0,1.0,0.0,RandomForestClassifierDF,gini,200,6,10,100
19,1.0,1.0,0.0,RandomForestClassifierDF,entropy,200,6,10,100
20,1.0,1.0,0.0,RandomForestClassifierDF,gini,200,6,10,300
21,1.0,1.0,0.0,RandomForestClassifierDF,entropy,200,6,10,300
22,1.0,1.0,0.0,RandomForestClassifierDF,gini,200,6,10,500
23,1.0,1.0,0.0,RandomForestClassifierDF,entropy,200,6,10,500
24,1.0,1.0,0.0,RandomForestClassifierDF,gini,200,8,10,100
25,1.0,1.0,0.0,RandomForestClassifierDF,entropy,200,8,10,100
26,1.0,1.0,0.0,RandomForestClassifierDF,gini,200,8,10,300
27,1.0,1.0,0.0,RandomForestClassifierDF,entropy,200,8,10,300
28,1.0,1.0,0.0,RandomForestClassifierDF,gini,200,8,10,500
29,1.0,1.0,0.0,RandomForestClassifierDF,entropy,200,8,10,500
30,1.0,1.0,0.0,RandomForestClassifierDF,gini,200,12,10,100
31,1.0,1.0,0.0,RandomForestClassifierDF,entropy,200,12,10,100
32,1.0,1.0,0.0,RandomForestClassifierDF,gini,200,12,10,300
33,1.0,1.0,0.0,RandomForestClassifierDF,entropy,200,12,10,300
34,1.0,1.0,0.0,RandomForestClassifierDF,gini,200,12,10,500
35,1.0,1.0,0.0,RandomForestClassifierDF,entropy,200,12,10,500
36,1.0,1.0,0.0,RandomForestClassifierDF,gini,300,6,10,100
37,1.0,1.0,0.0,RandomForestClassifierDF,entropy,300,6,10,100
38,1.0,1.0,0.0,RandomForestClassifierDF,gini,300,6,10,300
39,1.0,1.0,0.0,RandomForestClassifierDF,entropy,300,6,10,300
40,1.0,1.0,0.0,RandomForestClassifierDF,gini,300,6,10,500
41,1.0,1.0,0.0,RandomForestClassifierDF,entropy,300,6,10,500
42,1.0,1.0,0.0,RandomForestClassifierDF,gini,300,8,10,100
43,1.0,1.0,0.0,RandomForestClassifierDF,entropy,300,8,10,100
44,1.0,1.0,0.0,RandomForestClassifierDF,gini,300,8,10,300
45,1.0,1.0,0.0,RandomForestClassifierDF,entropy,300,8,10,300
46,1.0,1.0,0.0,RandomForestClassifierDF,gini,300,8,10,500
47,1.0,1.0,0.0,RandomForestClassifierDF,entropy,300,8,10,500
48,1.0,1.0,0.0,RandomForestClassifierDF,gini,300,12,10,100
49,1.0,1.0,0.0,RandomForestClassifierDF,entropy,300,12,10,100
50,1.0,1.0,0.0,RandomForestClassifierDF,gini,300,12,10,300
51,1.0,1.0,0.0,RandomForestClassifierDF,entropy,300,12,10,300
52,1.0,1.0,0.0,RandomForestClassifierDF,gini,300,12,10,500
53,1.0,1.0,0.0,RandomForestClassifierDF,entropy,300,12,10,500
54,1.0,1.0,0.0,RandomForestClassifierDF,gini,100,6,15,100
55,1.0,1.0,0.0,RandomForestClassifierDF,entropy,100,6,15,100
56,1.0,1.0,0.0,RandomForestClassifierDF,gini,100,6,15,300
57,1.0,1.0,0.0,RandomForestClassifierDF,entropy,100,6,15,300
58,1.0,1.0,0.0,RandomForestClassifierDF,gini,100,6,15,500
59,1.0,1.0,0.0,RandomForestClassifierDF,entropy,100,6,15,500
60,1.0,1.0,0.0,RandomForestClassifierDF,gini,100,8,15,100
61,1.0,1.0,0.0,RandomForestClassifierDF,entropy,100,8,15,100
62,1.0,1.0,0.0,RandomForestClassifierDF,gini,100,8,15,300
63,1.0,1.0,0.0,RandomForestClassifierDF,entropy,100,8,15,300
64,1.0,1.0,0.0,RandomForestClassifierDF,gini,100,8,15,500
65,1.0,1.0,0.0,RandomForestClassifierDF,entropy,100,8,15,500
66,1.0,1.0,0.0,RandomForestClassifierDF,gini,100,12,15,100
67,1.0,1.0,0.0,RandomForestClassifierDF,entropy,100,12,15,100
68,1.0,1.0,0.0,RandomForestClassifierDF,gini,100,12,15,300
69,1.0,1.0,0.0,RandomForestClassifierDF,entropy,100,12,15,300
70,1.0,1.0,0.0,RandomForestClassifierDF,gini,100,12,15,500
71,1.0,1.0,0.0,RandomForestClassifierDF,entropy,100,12,15,500
72,1.0,1.0,0.0,RandomForestClassifierDF,gini,200,6,15,100
73,1.0,1.0,0.0,RandomForestClassifierDF,entropy,200,6,15,100
74,1.0,1.0,0.0,RandomForestClassifierDF,gini,200,6,15,300
75,1.0,1.0,0.0,RandomForestClassifierDF,entropy,200,6,15,300
76,1.0,1.0,0.0,RandomForestClassifierDF,gini,200,6,15,500
77,1.0,1.0,0.0,RandomForestClassifierDF,entropy,200,6,15,500
78,1.0,1.0,0.0,RandomForestClassifierDF,gini,200,8,15,100
79,1.0,1.0,0.0,RandomForestClassifierDF,entropy,200,8,15,100
80,1.0,1.0,0.0,RandomForestClassifierDF,gini,200,8,15,300
81,1.0,1.0,0.0,RandomForestClassifierDF,entropy,200,8,15,300
82,1.0,1.0,0.0,RandomForestClassifierDF,gini,200,8,15,500
83,1.0,1.0,0.0,RandomForestClassifierDF,entropy,200,8,15,500
84,1.0,1.0,0.0,RandomForestClassifierDF,gini,200,12,15,100
85,1.0,1.0,0.0,RandomForestClassifierDF,entropy,200,12,15,100
86,1.0,1.0,0.0,RandomForestClassifierDF,gini,200,12,15,300
87,1.0,1.0,0.0,RandomForestClassifierDF,entropy,200,12,15,300
88,1.0,1.0,0.0,RandomForestClassifierDF,gini,200,12,15,500
89,1.0,1.0,0.0,RandomForestClassifierDF,entropy,200,12,15,500
90,1.0,1.0,0.0,RandomForestClassifierDF,gini,300,6,15,100
91,1.0,1.0,0.0,RandomForestClassifierDF,entropy,300,6,15,100
92,1.0,1.0,0.0,RandomForestClassifierDF,gini,300,6,15,300
93,1.0,1.0,0.0,RandomForestClassifierDF,entropy,300,6,15,300
94,1.0,1.0,0.0,RandomForestClassifierDF,gini,300,6,15,500
95,1.0,1.0,0.0,RandomForestClassifierDF,entropy,300,6,15,500
96,1.0,1.0,0.0,RandomForestClassifierDF,gini,300,8,15,100
97,1.0,1.0,0.0,RandomForestClassifierDF,entropy,300,8,15,100
98,1.0,1.0,0.0,RandomForestClassifierDF,gini,300,8,15,300
99,1.0,1.0,0.0,RandomForestClassifierDF,entropy,300,8,15,300
100,1.0,1.0,0.0,RandomForestClassifierDF,gini,300,8,15,500
101,1.0,1.0,0.0,RandomForestClassifierDF,entropy,300,8,15,500
102,1.0,1.0,0.0,RandomForestClassifierDF,gini,300,12,15,100
103,1.0,1.0,0.0,RandomForestClassifierDF,entropy,300,12,15,100
104,1.0,1.0,0.0,RandomForestClassifierDF,gini,300,12,15,300
105,1.0,1.0,0.0,RandomForestClassifierDF,entropy,300,12,15,300
106,1.0,1.0,0.0,RandomForestClassifierDF,gini,300,12,15,500
107,1.0,1.0,0.0,RandomForestClassifierDF,entropy,300,12,15,500
108,1.0,1.0,0.0,RandomForestClassifierDF,gini,100,6,20,100
109,1.0,1.0,0.0,RandomForestClassifierDF,entropy,100,6,20,100
110,1.0,1.0,0.0,RandomForestClassifierDF,gini,100,6,20,300
111,1.0,1.0,0.0,RandomForestClassifierDF,entropy,100,6,20,300
112,1.0,1.0,0.0,RandomForestClassifierDF,gini,100,6,20,500
113,1.0,1.0,0.0,RandomForestClassifierDF,entropy,100,6,20,500
114,1.0,1.0,0.0,RandomForestClassifierDF,gini,100,8,20,100
115,1.0,1.0,0.0,RandomForestClassifierDF,entropy,100,8,20,100
116,1.0,1.0,0.0,RandomForestClassifierDF,gini,100,8,20,300
117,1.0,1.0,0.0,RandomForestClassifierDF,entropy,100,8,20,300
118,1.0,1.0,0.0,RandomForestClassifierDF,gini,100,8,20,500
119,1.0,1.0,0.0,RandomForestClassifierDF,entropy,100,8,20,500
120,1.0,1.0,0.0,RandomForestClassifierDF,gini,100,12,20,100
121,1.0,1.0,0.0,RandomForestClassifierDF,entropy,100,12,20,100
122,1.0,1.0,0.0,RandomForestClassifierDF,gini,100,12,20,300
123,1.0,1.0,0.0,RandomForestClassifierDF,entropy,100,12,20,300
124,1.0,1.0,0.0,RandomForestClassifierDF,gini,100,12,20,500
125,1.0,1.0,0.0,RandomForestClassifierDF,entropy,100,12,20,500
126,1.0,1.0,0.0,RandomForestClassifierDF,gini,200,6,20,100
127,1.0,1.0,0.0,RandomForestClassifierDF,entropy,200,6,20,100
128,1.0,1.0,0.0,RandomForestClassifierDF,gini,200,6,20,300
129,1.0,1.0,0.0,RandomForestClassifierDF,entropy,200,6,20,300
130,1.0,1.0,0.0,RandomForestClassifierDF,gini,200,6,20,500
131,1.0,1.0,0.0,RandomForestClassifierDF,entropy,200,6,20,500
132,1.0,1.0,0.0,RandomForestClassifierDF,gini,200,8,20,100
133,1.0,1.0,0.0,RandomForestClassifierDF,entropy,200,8,20,100
134,1.0,1.0,0.0,RandomForestClassifierDF,gini,200,8,20,300
135,1.0,1.0,0.0,RandomForestClassifierDF,entropy,200,8,20,300
136,1.0,1.0,0.0,RandomForestClassifierDF,gini,200,8,20,500
137,1.0,1.0,0.0,RandomForestClassifierDF,entropy,200,8,20,500
138,1.0,1.0,0.0,RandomForestClassifierDF,gini,200,12,20,100
139,1.0,1.0,0.0,RandomForestClassifierDF,entropy,200,12,20,100
140,1.0,1.0,0.0,RandomForestClassifierDF,gini,200,12,20,300
141,1.0,1.0,0.0,RandomForestClassifierDF,entropy,200,12,20,300
142,1.0,1.0,0.0,RandomForestClassifierDF,gini,200,12,20,500
143,1.0,1.0,0.0,RandomForestClassifierDF,entropy,200,12,20,500
144,1.0,1.0,0.0,RandomForestClassifierDF,gini,300,6,20,100
145,1.0,1.0,0.0,RandomForestClassifierDF,entropy,300,6,20,100
146,1.0,1.0,0.0,RandomForestClassifierDF,gini,300,6,20,300
147,1.0,1.0,0.0,RandomForestClassifierDF,entropy,300,6,20,300
148,1.0,1.0,0.0,RandomForestClassifierDF,gini,300,6,20,500
149,1.0,1.0,0.0,RandomForestClassifierDF,entropy,300,6,20,500
150,1.0,1.0,0.0,RandomForestClassifierDF,gini,300,8,20,100
151,1.0,1.0,0.0,RandomForestClassifierDF,entropy,300,8,20,100
152,1.0,1.0,0.0,RandomForestClassifierDF,gini,300,8,20,300
153,1.0,1.0,0.0,RandomForestClassifierDF,entropy,300,8,20,300
154,1.0,1.0,0.0,RandomForestClassifierDF,gini,300,8,20,500
155,1.0,1.0,0.0,RandomForestClassifierDF,entropy,300,8,20,500
156,1.0,1.0,0.0,RandomForestClassifierDF,gini,300,12,20,100
157,1.0,1.0,0.0,RandomForestClassifierDF,entropy,300,12,20,100
158,1.0,1.0,0.0,RandomForestClassifierDF,gini,300,12,20,300
159,1.0,1.0,0.0,RandomForestClassifierDF,entropy,300,12,20,300
160,1.0,1.0,0.0,RandomForestClassifierDF,gini,300,12,20,500
161,1.0,1.0,0.0,RandomForestClassifierDF,entropy,300,12,20,500
